"b_mileage_a","b_range_year0_a","b_degradation_a","b_packreplace_a","b_cellreplace_a","b_price_a","b_mileage_b","b_range_year0_b","b_degradation_b","b_packreplace_b","b_cellreplace_b","b_price_b","b_mileage_c","b_range_year0_c","b_degradation_c","b_packreplace_c","b_cellreplace_c","b_price_c","delta_b","delta_c","gamma_EV_benefit_b","gamma_EV_anxiety_b","gamma_EV_benefit_c","gamma_EV_anxiety_c","logLike"
0.0427153498724712,0.991033993391316,-0.0648941968169206,-1.99707458730955,-1.59317770262289,-0.494512939694914,-0.0642018378836666,0.938314289840361,-0.234450122966731,0.125746495304793,0.00206361256213574,0.0370208898076421,-0.360684346151768,0.631962194038328,-0.388992634146546,-0.28435735358934,-0.501479890900069,-0.162723833282584,1.890186388106,0.0404596661279651,0.691969909506903,-0.29059759449788,0.0383382412461424,0.173673775138483,-2597.79406489834
-0.012304373882913,1.12446490559116,-0.0485866580715137,-2.45030830309484,-1.97416211935358,-0.490575173259131,-0.0556651268648096,0.939521465548363,-0.239187156955016,0.162770195497859,0.0322989334602146,0.0247913372675036,-0.332554243344311,0.606160048630692,-0.376653080954992,-0.321120854041408,-0.453423653078,-0.16436931426114,1.80903366168662,-0.0252412890583856,0.594841422379603,-0.38797981007081,-0.058417655709358,0.0667425620464621,-2594.47888509629
-0.105863808762241,1.26823994358413,-0.0644724064796878,-2.91825108036069,-2.40172654395183,-0.436479140488399,-0.0454466421746061,0.93897437153105,-0.2412737624304,0.17592672622682,0.0471161661262125,0.00836791974168014,-0.321355056011231,0.568448094896662,-0.372524298509848,-0.302257421054595,-0.39108282330692,-0.15656428311602,1.81683909205742,-0.0275854455739053,0.537339707101011,-0.399893806237877,-0.0777837364248396,0.0423402371549276,-2592.64558043162
-0.149190756545924,1.32714905214067,-0.0795631500449394,-3.1523671328577,-2.74305626143794,-0.378212194898028,-0.0414055439943002,0.938577137986818,-0.240272971898588,0.161286180421816,0.0387151501524999,-0.000324633398775897,-0.313518300545117,0.554303384591228,-0.371585977531138,-0.278630497233783,-0.349947011438973,-0.156661913096489,1.90454801608447,0.0596006586891578,0.496865060096231,-0.430415446522396,-0.112119839407807,0.00896720119671465,-2592.15404539892
-0.142069406579199,1.27560204645075,-0.0928848715646518,-3.08882289791496,-2.69811604567104,-0.337215726382528,-0.0426124133284562,0.939431439238202,-0.237714494444588,0.142031838882786,0.0236230678851516,0.000124807510431881,-0.318732505946504,0.561746713107605,-0.375905530917192,-0.255452512249484,-0.355434717507779,-0.159559076285236,1.98335019702097,0.140751042074052,0.518314225613896,-0.369234855171717,-0.0826827830370726,0.0642241728824533,-2591.90303874018
-0.112755636122904,1.26607860185603,-0.082505650398076,-3.16811302651232,-2.79630904638733,-0.345440047905991,-0.0441902661211983,0.939236902177188,-0.236883101642831,0.138775055689019,0.0202997354505182,-0.000376831923600831,-0.317715049064467,0.573811552313545,-0.375741926748655,-0.263097865499983,-0.360699200173803,-0.167046493099418,2.0192828550253,0.185584265717422,0.502804841803966,-0.397742074644206,-0.109549572232366,0.043500148873291,-2591.86341934695
-0.113242461042502,1.25374521392672,-0.0874553237854365,-3.17145102387486,-2.77832446004803,-0.330195904576317,-0.0443881711524745,0.939463228995443,-0.236114611282737,0.136798927891552,0.0186783411704322,-0.00128703462369434,-0.31958613943471,0.577122200465857,-0.376886110789081,-0.260080119462931,-0.369520896625835,-0.169345582736044,2.02606460691289,0.191805139442916,0.527853084021471,-0.380237536133238,-0.0779790881896167,0.0591871298927668,-2591.80809222518
-0.114902750801126,1.24601605630414,-0.0920220332681456,-3.17770238870167,-2.76829503364976,-0.316099247197174,-0.044420303783103,0.939829649231537,-0.235665110329555,0.137588624987984,0.0198678372628778,-0.00273606945209485,-0.321001538225791,0.581169108917378,-0.377386986886375,-0.262167503956342,-0.378260285818177,-0.172375393108607,2.02436126821514,0.188343040897923,0.553191962507332,-0.366243643428875,-0.0477837711909885,0.0708428466177128,-2591.79233895936
-0.108238884281681,1.23848373197896,-0.092141419294734,-3.19646785876592,-2.78782900169687,-0.310039077681028,-0.0448123672319327,0.940059298679993,-0.235314409081925,0.136326708274376,0.0192636553610158,-0.003587500797409,-0.321479719326445,0.585837858228144,-0.37761743078738,-0.265029734933504,-0.3843899796562,-0.175428584040015,2.0352412501135,0.200164831131116,0.557752298827763,-0.36438284124946,-0.0433471978037224,0.0726600325186148,-2591.77883002741
-0.0935020278329098,1.22287785647019,-0.092942212264598,-3.24749471868067,-2.83853202546066,-0.293098218185869,-0.0456097244297687,0.940829895256648,-0.234576226626885,0.134480991734893,0.0188424934287766,-0.00636817847696845,-0.322219757792947,0.598587603950298,-0.377763261896088,-0.27698965695257,-0.402069088451633,-0.184195546711396,2.06211463524223,0.229118227928111,0.573630319631692,-0.35835276551111,-0.0293020442437011,0.0789061571262428,-2591.76435402289
