resp_removed,term,estimate_loo,std.error_loo,estimate_full,std.error_full,diff_estimate,diff_std,diff_estimate_perc,diff_std_perc
17,no_choice,-12.689765633282782,1.5062373157464983,-12.69086154695635,1.5072393648797635,0.0011,-0.001,-0.009,-0.066
18,scalePar,0.27575488944883497,0.03799501015017117,0.27576060111899015,0.03801371262145017,-1e-5,-2e-5,-0.002,-0.049
18,mileage,-0.6354447228868203,0.12305029756422918,-0.6353231034422926,0.12305555601167874,-1.2e-4,-1e-5,0.019,-0.004
18,age,-0.3947933871494147,0.06660210532960982,-0.3947919234373871,0.06662227667261399,-0,-2e-5,0,-0.03
18,operating_cost,-0.14437834662657179,0.03792146207118922,-0.14437894567590726,0.03792653641845433,0,-1e-5,-0,-0.013
18,range_bev,0.6028439390310485,0.35469417131518105,0.6031531566243922,0.35471563430461767,-3.1e-4,-2e-5,-0.051,-0.006
18,range_phev,-0.057924049381047414,0.2192525278163755,-0.05770556039922972,0.21924487500339213,-2.2e-4,1e-5,0.379,0.003
18,powertrainbev,-5.422991295052772,0.994659225488677,-5.423354656968233,0.9950117848307474,3.6e-4,-3.5e-4,-0.007,-0.035
18,powertrainphev,-3.8400709174918997,0.8390494100123196,-3.840460502160854,0.839279392941598,3.9e-4,-2.3e-4,-0.01,-0.027
18,powertrainhev,-0.7046542564793162,0.3081461672849414,-0.70418430512551,0.3081112001028441,-4.7e-4,3e-5,0.067,0.011
18,no_choice,-12.690878806725221,1.5066577510395467,-12.69086154695635,1.5072393648797635,-2e-5,-5.8e-4,0,-0.039
19,scalePar,0.2757440068006029,0.0379965327612632,0.27576060111899015,0.03801371262145017,-2e-5,-2e-5,-0.006,-0.045
19,mileage,-0.6355130288552249,0.12306881607244675,-0.6353231034422926,0.12305555601167874,-1.9e-4,1e-5,0.03,0.011
19,age,-0.3948124244198207,0.0666090017701626,-0.3947919234373871,0.06662227667261399,-2e-5,-1e-5,0.005,-0.02
19,operating_cost,-0.14438541559153328,0.037924077374393135,-0.14437894567590726,0.03792653641845433,-1e-5,-0,0.004,-0.006
19,range_bev,0.6028906408572748,0.35471050041053553,0.6031531566243922,0.35471563430461767,-2.6e-4,-1e-5,-0.044,-0.001
19,range_phev,-0.057834711075055015,0.21926106604930937,-0.05770556039922972,0.21924487500339213,-1.3e-4,2e-5,0.224,0.007
19,powertrainbev,-5.42316238018327,0.9947346774095923,-5.423354656968233,0.9950117848307474,1.9e-4,-2.8e-4,-0.004,-0.028
19,powertrainphev,-3.840430403344238,0.8391498010943054,-3.840460502160854,0.839279392941598,3e-5,-1.3e-4,-0.001,-0.015
