Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
6942ec0d17f62d3faa08ec02,5f85f217f845b10f388f2ce7,SCREENED OUT,Not Applicable,2025-12-17T17:44:52.329000Z,2025-12-17T17:45:36.485000Z,,2025-12-17T17:45:36.749115Z,45.0,C1N42823,6626,English,Yes,54,Female,White,United States,United States,United States,English,No,Part-Time
6942eeb460f2607fd7cf00dd,6695b2d8fb297c4bda5a54c4,SCREENED OUT,Not Applicable,2025-12-17T17:56:06.833000Z,2025-12-17T17:57:02.836000Z,,2025-12-17T17:57:03.077699Z,57.0,C1N42823,612,English,Yes,37,Female,Mixed,United States,United States,United States,English,No,Full-Time
6942efe38c3942c3fa2d1d01,5591cd21fdf99b63126f6c60,APPROVED,Not Applicable,2025-12-17T18:01:11.287000Z,2025-12-17T18:12:57.264000Z,2025-12-17T22:12:22.570000Z,2025-12-17T18:12:57.624046Z,706.0,6382910916,11865,English,Yes,35,Male,White,United States,United States,United States,English,No,Full-Time
6942f10b385f15d1c535464f,67464f1e7e327bb792ac9af4,SCREENED OUT,Not Applicable,2025-12-17T18:06:06.312000Z,2025-12-17T18:06:25.535000Z,,2025-12-17T18:06:25.763796Z,20.0,C1N42823,2002,English,Yes,45,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942f13f034fa4b4a5339e74,6756552aee105de328a381b2,APPROVED,Not Applicable,2025-12-17T18:07:05.930000Z,2025-12-17T18:18:37.012000Z,2025-12-17T22:05:26.786000Z,2025-12-17T18:18:37.406732Z,692.0,9241945428,810,English,Yes,46,Female,White,United States,United States,United States,English,No,DATA_EXPIRED
6942f16e73061635c887d7f0,6669fe44c5660a00d14ab11d,APPROVED,Not Applicable,2025-12-17T18:07:45.649000Z,2025-12-17T18:17:08.545000Z,2025-12-17T22:05:27.072000Z,2025-12-17T18:17:08.911862Z,563.0,1439344772,4778,English,Yes,32,Male,White,United States,United States,United States,English,No,Full-Time
6942f1b0709d85415abf3ede,5abc3250a3ba7a0001b44c37,APPROVED,Not Applicable,2025-12-17T18:08:52.756000Z,2025-12-17T18:14:57.541000Z,2025-12-17T22:05:27.346000Z,2025-12-17T18:14:57.891429Z,365.0,1989405718,6598,English,Yes,32,Male,Asian,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942f23b3909ba3c26471cf6,671165ce01cd9c2699b90dc1,SCREENED OUT,Not Applicable,2025-12-17T18:12:53.395000Z,2025-12-17T18:14:33.565000Z,,2025-12-17T18:14:33.785287Z,101.0,C1N42823,2025,English,Yes,34,Female,White,United States,United States,United States,English,No,Full-Time
6942f3afa473c400b67a638b,66926bdaacd865fc152ef5ff,SCREENED OUT,Not Applicable,2025-12-17T18:17:23.177000Z,2025-12-17T18:18:50.792000Z,,2025-12-17T18:18:51.012413Z,88.0,C1N42823,7671,English,Yes,51,Female,White,United States,United States,United States,English,No,Full-Time
6942f3c6385f15d1c53546a4,614dd304ed948bbfe8c22215,APPROVED,Not Applicable,2025-12-17T18:17:47.526000Z,2025-12-17T18:29:03.137000Z,2025-12-17T22:05:27.631000Z,2025-12-17T18:29:03.480792Z,676.0,9535333545,13520,English,Yes,36,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6942f416d0c8a15ff6b1fa0f,60bc18bb8b971280ef13060c,SCREENED OUT,Not Applicable,2025-12-17T18:19:02.211000Z,2025-12-17T18:19:54.783000Z,,2025-12-17T18:19:55.005341Z,53.0,C1N42823,5880,English,Yes,48,Female,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
6942f5cedaeb57b30b255a0a,5c3314c6f28f2600010e4e83,SCREENED OUT,Not Applicable,2025-12-17T18:26:26.310000Z,2025-12-17T18:26:57.310000Z,,2025-12-17T18:26:57.549868Z,31.0,C1N42823,2205,English,Yes,29,Female,White,United States,United States,United States,English,No,Full-Time
6942f60be6d640e036bd12da,62b0b9d60841bfa66838f436,RETURNED,Not Applicable,2025-12-17T18:27:28.295000Z,,,2025-12-17T21:55:58.044579Z,,,5019,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942f794c6ba776b63908931,66ac140ffbe9e717e0d21357,APPROVED,Not Applicable,2025-12-17T18:35:09.663000Z,2025-12-17T18:56:10.576000Z,2025-12-17T22:05:27.894000Z,2025-12-17T18:56:10.946863Z,1261.0,8826150919,1588,English,Yes,53,Female,White,United States,United States,United States,English,No,Part-Time
6942f9c93a8e30e78faf1c9c,5fec06ae197628d566cdc782,APPROVED,Not Applicable,2025-12-17T18:43:30.524000Z,2025-12-17T18:56:18.036000Z,2025-12-17T22:05:28.163000Z,2025-12-17T18:56:18.422862Z,768.0,4474895358,3604,English,Yes,56,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942fabad7f7fcd58d753ac4,62926f5a375553f13d68bc92,RETURNED,Not Applicable,2025-12-17T18:47:26.485000Z,,,2025-12-17T21:55:58.044358Z,,,12919,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942fc8f1208e645a1a3c106,67a4fbd7e4ebc02e050b7999,RETURNED,Not Applicable,2025-12-17T18:55:15.710000Z,,,2025-12-17T21:55:58.045681Z,,,1954,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
6942fd3f7646d4e257fa1ca5,5fc7a6aaa7646c0009521161,APPROVED,Not Applicable,2025-12-17T18:58:10.476000Z,2025-12-17T19:07:02.136000Z,2025-12-17T22:05:28.401000Z,2025-12-17T19:07:02.492462Z,532.0,7123685167,10209,English,Yes,54,Male,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
6942fee2c53904b3253c1921,5c1021a547d07800011a23de,SCREENED OUT,Not Applicable,2025-12-17T19:05:10.965000Z,2025-12-17T19:05:52.682000Z,,2025-12-17T19:05:52.912693Z,42.0,C1N42823,8741,English,Yes,67,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
6942ff76d835f28dd167bf01,6717f0ac88d9f27d9b79af31,APPROVED,Not Applicable,2025-12-17T19:07:37.569000Z,2025-12-17T19:16:27.438000Z,2025-12-17T22:05:28.668000Z,2025-12-17T19:16:27.789019Z,530.0,8128866183,1115,English,Yes,50,Female,White,United States,United States,United States,English,No,Full-Time
6942ffe07b337887b82941b0,5e7a2ccd69a7770604dfb352,APPROVED,Not Applicable,2025-12-17T19:09:25.596000Z,2025-12-17T19:22:06.068000Z,2025-12-17T22:05:28.934000Z,2025-12-17T19:22:06.434127Z,761.0,8252534290,12577,English,Yes,52,Female,White,United States,United States,United States,English,No,Part-Time
6942fff4668b1ca09211cf16,5ca25f7048f78e0018fdac10,REJECTED,Not Applicable,2025-12-17T19:09:43.240000Z,2025-12-17T19:09:56.919000Z,2025-12-17T19:37:21.670000Z,2025-12-17T21:55:58.047571Z,14.0,6637535506,11504,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
694301392a9b2ac29b105765,64137d0dfe71cf6624348d27,APPROVED,Not Applicable,2025-12-17T19:15:05.707000Z,2025-12-17T19:32:18.238000Z,2025-12-17T22:05:29.199000Z,2025-12-17T19:32:18.571230Z,1033.0,6982445265,1750,English,Yes,67,Female,White,United States,United States,United States,English,No,Part-Time
694302d974532f18e2a531e5,694170cf09f4de6f7aa6f24b,SCREENED OUT,Not Applicable,2025-12-17T19:22:05.456000Z,2025-12-17T19:22:46.990000Z,,2025-12-17T19:22:47.214010Z,42.0,C1N42823,3,English,Yes,18,Female,White,United States,United States,United States,English,Yes,Part-Time
6943030d39ad088ac535dd13,63a0d718bbed03d92665039e,SCREENED OUT,Not Applicable,2025-12-17T19:22:58.194000Z,2025-12-17T19:23:41.341000Z,,2025-12-17T19:23:41.580609Z,44.0,C1N42823,3398,English,Yes,57,Female,White,United States,United States,United States,English,No,Full-Time
6943034d52470fbb52ecdc61,67fd46db088825e305648e1a,SCREENED OUT,Not Applicable,2025-12-17T19:25:11.633000Z,2025-12-17T19:26:48.453000Z,,2025-12-17T19:26:48.682222Z,97.0,C1N42823,2973,English,Yes,28,Female,Mixed,United States,United States,United States,English,DATA_EXPIRED,Full-Time
69430427cc5f8ccb3c158a63,64014c946836cff56fc1a22f,SCREENED OUT,Not Applicable,2025-12-17T19:27:39.847000Z,2025-12-17T19:28:05.700000Z,,2025-12-17T19:28:05.960904Z,26.0,C1N42823,3923,"English, Spanish",Yes,29,Male,Other,United States,United States,United States,Spanish,No,Full-Time
6943042838a58074a61a6e1b,66a276a145ba9b1f7698e4b2,SCREENED OUT,Not Applicable,2025-12-17T19:27:39.888000Z,2025-12-17T19:28:51.267000Z,,2025-12-17T19:28:51.510650Z,72.0,C1N42823,1955,English,Yes,46,Female,White,United States,United States,United States,English,No,Full-Time
69430493484deb2463926333,664e1a71d20f44f2ffe39360,APPROVED,Not Applicable,2025-12-17T19:29:27.278000Z,2025-12-17T19:44:01.973000Z,2025-12-17T22:12:22.898000Z,2025-12-17T19:44:02.397042Z,875.0,1599090914,7064,English,Yes,40,Male,White,United States,United States,United States,English,No,Full-Time
694304c4f949755b352c274a,66aa8d04719b0f5ef3433e9c,APPROVED,Not Applicable,2025-12-17T19:30:25.407000Z,2025-12-17T19:46:45.773000Z,2025-12-17T22:05:29.428000Z,2025-12-17T19:46:46.156349Z,981.0,6130185936,2507,English,Yes,30,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
694304cc6fc81a487f42adca,66bfdc082ffe8d45b60263a6,APPROVED,Not Applicable,2025-12-17T19:30:23.973000Z,2025-12-17T19:48:55.246000Z,2025-12-17T22:05:29.700000Z,2025-12-17T19:48:55.626477Z,1112.0,5064617203,3450,English,Yes,51,Female,White,Bosnia and Herzegovina,United States,United States,DATA_EXPIRED,No,Full-Time
