session_id,psid,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,4,0,4,1600,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,5,44,1,1601,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,30000,18000,cellreplace,200,0.01,0,100%,97%,92%,195,185,Refurbished Cell-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,5,1214,2,1601,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,40000,22000,cellreplace,280,0.03,0,100%,91%,78%,255,220,Refurbished Cell-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,5,796,3,1601,1,2025-10-27T19:10:01Z,8.95,2.1,20000,car,30000,22000,original,320,0.02,0,100%,94%,85%,300,270,Original Battery
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,5,0,4,1601,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,6,978,1,1602,1,2025-10-27T19:10:01Z,8.95,2.1,20000,car,20000,20000,original,200,0.03,0,100%,91%,78%,185,155,Original Battery
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,6,3471,2,1602,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,45000,18000,original,240,0.08,0,100%,78%,51%,185,125,Original Battery
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,6,228,3,1602,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,30000,16000,cellreplace,280,0.01,0,100%,97%,92%,270,260,Refurbished Cell-Replaced
be56d2d076a84cd426189a1c50f3afc0,kdRyC9VAc17teW6buZc2eZdN,267,6,0,4,1602,0,2025-10-27T19:10:01Z,8.95,2.1,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,1,2331,1,1603,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,25000,22000,original,360,0.05,0,100%,86%,66%,310,240,Original Battery
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,1,3643,2,1603,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,25000,22000,packreplace,280,0.08,0,100%,78%,51%,220,145,Refurbished Pack-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,1,2571,3,1603,1,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,25000,18000,packreplace,240,0.06,0,100%,83%,61%,200,145,Refurbished Pack-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,1,0,4,1603,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,2,786,1,1604,1,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,20000,20000,original,320,0.02,0,100%,94%,85%,300,270,Original Battery
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,2,1933,2,1604,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,35000,18000,original,200,0.05,0,100%,86%,66%,170,135,Original Battery
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,2,2828,3,1604,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,30000,18000,cellreplace,360,0.06,0,100%,83%,61%,300,220,Refurbished Cell-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,2,0,4,1604,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,3,1854,1,1605,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,40000,22000,original,360,0.04,0,100%,88%,72%,320,260,Original Battery
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,3,1275,2,1605,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,25000,22000,original,320,0.03,0,100%,91%,78%,290,250,Original Battery
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,3,831,3,1605,1,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,45000,22000,cellreplace,320,0.02,0,100%,94%,85%,300,270,Refurbished Cell-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,3,0,4,1605,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,4,1339,1,1606,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,25000,22000,packreplace,320,0.03,0,100%,91%,78%,290,250,Refurbished Pack-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,4,723,2,1606,1,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,25000,20000,cellreplace,280,0.02,0,100%,94%,85%,265,240,Refurbished Cell-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,4,512,3,1606,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,50000,22000,original,200,0.02,0,100%,94%,85%,190,170,Original Battery
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,4,0,4,1606,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,5,1906,1,1607,1,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,20000,20000,packreplace,360,0.04,0,100%,88%,72%,320,260,Refurbished Pack-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,5,1697,2,1607,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,15000,16000,packreplace,280,0.04,0,100%,88%,72%,250,200,Refurbished Pack-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,5,2396,3,1607,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,30000,22000,packreplace,360,0.05,0,100%,86%,66%,310,240,Refurbished Pack-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,5,0,4,1607,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,6,524,1,1608,1,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,30000,18000,cellreplace,200,0.02,0,100%,94%,85%,190,170,Refurbished Cell-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,6,829,2,1608,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,35000,22000,cellreplace,320,0.02,0,100%,94%,85%,300,270,Refurbished Cell-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,6,3739,3,1608,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,25000,22000,packreplace,320,0.08,0,100%,78%,51%,250,165,Refurbished Pack-Replaced
9533e9b685b5e041d7ac43fbe1387401,vdCYRqVKt7rcQdaxSsYFM1uN,268,6,0,4,1608,0,2025-10-28T13:41:39Z,16.483333333333334,2.6333333333333333,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
