Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Primary language,Car usage,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
69a0ab3d298dc2a0eba7d1c5,6979092694f5c4452265f955,APPROVED,Not Applicable,2026-02-26T20:21:22.798000Z,2026-02-26T20:36:16.800000Z,2026-03-01T15:49:01.831000Z,2026-02-26T20:36:17.268738Z,895.0,7655920686,212,English,Yes,47,Female,White,United States,United States,United States,English,No,Full-Time
69a0ab47c503bb7cf3382444,698bd54940cad344221bcad0,SCREENED OUT,Not Applicable,2026-02-26T20:22:40.580000Z,2026-02-26T20:23:51.488000Z,,2026-02-26T20:23:51.724311Z,71.0,C65JEJ1S,74,English,Yes,35,Female,White,United States,United States,United States,English,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a0aba0b26b6e881839436e,676262b3f4568a9e261113b8,APPROVED,Not Applicable,2026-02-26T20:23:01.839000Z,2026-02-26T20:28:29.089000Z,2026-03-01T15:49:02.111000Z,2026-02-26T20:28:29.462290Z,328.0,7106672963,305,English,Yes,28,Male,White,United States,United States,United States,English,No,Full-Time
69a0ac0fc53bd2ec498e72c1,668d382ea3dc675995db9ca9,SCREENED OUT,Not Applicable,2026-02-26T20:24:52.565000Z,2026-02-26T20:25:42.495000Z,,2026-02-26T20:25:42.714285Z,50.0,C65JEJ1S,646,English,Yes,68,Female,White,United Kingdom,United States,United Kingdom,English,No,DATA_EXPIRED
69a0acbb423e891621846f2c,69952c4a0bb463a74f843450,APPROVED,Not Applicable,2026-02-26T20:27:44.932000Z,2026-02-26T20:58:04.447000Z,2026-03-01T15:49:02.381000Z,2026-02-26T20:58:04.811107Z,1820.0,5751960403,35,"French, English",Yes,53,Female,Mixed,France,United States,United States,French,No,"Not in paid work (e.g. homemaker', 'retired or disabled)"
69a0acc0a69c880d90a8763b,667d8f55affe56cff0ed435d,SCREENED OUT,Not Applicable,2026-02-26T20:27:48.532000Z,2026-02-26T20:28:32.782000Z,,2026-02-26T20:28:33.013510Z,45.0,C65JEJ1S,775,English,Yes,47,Female,White,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
69a0ad2ae6a132b53366a238,69601ae2c415c9e447241122,APPROVED,Not Applicable,2026-02-26T20:29:33.657000Z,2026-02-26T20:40:32.573000Z,2026-03-01T15:49:03.325000Z,2026-02-26T20:40:32.914084Z,659.0,3373591168,572,English,Yes,36,Male,Prefer not to say,United States,United States,United States,English,No,Part-Time
69a0adad31ca03cf864f9401,66b536f452d5fe8dfb915179,APPROVED,Not Applicable,2026-02-26T20:31:47.419000Z,2026-02-26T20:47:17.630000Z,2026-03-01T15:49:03.594000Z,2026-02-26T20:47:17.981674Z,931.0,6079991902,283,English,Yes,33,Female,Black,United States,United States,United States,English,No,Full-Time
69a0adb0f9d456ca299bdaee,698115af1e15c0879c0016ef,APPROVED,Not Applicable,2026-02-26T20:31:47.501000Z,2026-02-26T20:56:41.293000Z,2026-03-01T15:49:03.904000Z,2026-02-26T20:56:41.634349Z,1494.0,5226583316,58,English,Yes,24,Male,Black,United States,United States,United States,English,No,Unemployed (and job seeking)
69a0afc35dfd221deddf77d7,695fd4487bc283ffe04bc3a6,APPROVED,Not Applicable,2026-02-26T20:40:40.312000Z,2026-02-26T20:56:56.594000Z,2026-03-01T15:49:04.207000Z,2026-02-26T20:56:56.959168Z,977.0,8791688002,194,English,Yes,30,Female,Black,United States,United States,United States,English,No,Full-Time
