date,description,participant_id,study,reward,fee
2026-02-26,SCREENED OUT,6953fb7c9df1b32aa5503057,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6995675012a532466addf0ad,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6965ad1ffd825e2e32a3b58b,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6996a0b255018ffdb8451deb,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,697b9105ffb0759c05be40a9,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,698ae36c7e51da7603d49e48,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699a0ca9c3cc9713e1b9822f,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,697a89fd4ba5b384a181909d,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6992e04a1733a51d3579b194,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,6941984defc3cfda7e9cdf6f,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,698f8e8ec02d6d5f92286914,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69862abbaa02cf8c414e57cb,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6985f6870d2de85554edac63,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,6992294764f3f4c3494e84d0,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,699e0421620bdda07187f194,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69915993cdf32ab1cbdbf711,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,674387ad93557e492211b836,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,698bffd7de317947137c242c,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,697b6a31c5be61f911835aaa,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,698a7d645d3b41eeda680ee3,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,699ce2381d9455e5fc5013fd,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,61074a1d5e2f94e51b0e29b0,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,699927b3240d8d196a9e501d,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,699e18bafc32aebeb80983b3,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,6987a1e2280a50ce4b099a98,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,APPROVED,672993bf9aa7b7c1976ae5c5,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,66961b0829c07b563688c86d,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,APPROVED,660700e07349f8b58762681c,69972f6c3f130386dee62c91,2.25,0.75
2026-02-26,SCREENED OUT,69866ab58c3d41549288290a,69972f6c3f130386dee62c91,0.14,0.05
2026-02-26,SCREENED OUT,6583c365c72cfda41f2619c4,69972f6c3f130386dee62c91,0.14,0.05
