session_id,respID,qID,profileID,altID,obsID,choice,time_start,time_min_total,time_min_battery_cbc,next_veh_budget,vehicle_type,veh_mileage,veh_price,battery_refurbish,battery_range_year0,battery_degradation,no_choice,battery_health_year0,battery_health_year3,battery_health_year8,battery_range_year3,battery_range_year8,battery_condition
3d6c7d5966fa119a53057242f4a4284a,40,3,1300,1,237,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,30000,20000,cellreplace,320,0.03,0,100%,91%,78%,290,250,Refurbished Cell-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,3,44,2,237,1,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,30000,18000,cellreplace,200,0.01,0,100%,97%,92%,195,185,Refurbished Cell-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,3,1358,3,237,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,40000,18000,original,360,0.03,0,100%,91%,78%,330,280,Original Battery
3d6c7d5966fa119a53057242f4a4284a,40,3,0,4,237,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
3d6c7d5966fa119a53057242f4a4284a,40,4,2718,1,238,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,40000,22000,original,320,0.06,0,100%,83%,61%,265,195,Original Battery
3d6c7d5966fa119a53057242f4a4284a,40,4,1615,2,238,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,45000,18000,packreplace,240,0.04,0,100%,88%,72%,210,175,Refurbished Pack-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,4,998,3,238,1,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,40000,16000,cellreplace,200,0.03,0,100%,91%,78%,185,155,Refurbished Cell-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,4,0,4,238,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
3d6c7d5966fa119a53057242f4a4284a,40,5,894,1,239,1,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,40000,22000,original,360,0.02,0,100%,94%,85%,340,305,Original Battery
3d6c7d5966fa119a53057242f4a4284a,40,5,3538,2,239,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,20000,20000,packreplace,240,0.08,0,100%,78%,51%,185,125,Refurbished Pack-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,5,1335,3,239,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,45000,20000,packreplace,320,0.03,0,100%,91%,78%,290,250,Refurbished Pack-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,5,0,4,239,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
3d6c7d5966fa119a53057242f4a4284a,40,6,2954,1,240,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,20000,18000,packreplace,200,0.07,0,100%,80%,56%,160,110,Refurbished Pack-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,6,2170,2,240,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,20000,22000,cellreplace,280,0.05,0,100%,86%,66%,240,185,Refurbished Cell-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,6,2933,3,240,0,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,35000,20000,cellreplace,200,0.07,0,100%,80%,56%,160,110,Refurbished Cell-Replaced
3d6c7d5966fa119a53057242f4a4284a,40,6,0,4,240,1,2025-10-20T20:33:25Z,10.266666666666667,1.15,20000,car,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
c094dcff3a6503ed34a41979e2601263,41,1,3133,1,241,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,35000,16500,cellreplace,280,0.07,0,100%,80%,56%,225,155,Refurbished Cell-Replaced
c094dcff3a6503ed34a41979e2601263,41,1,924,2,241,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,30000,16500,cellreplace,360,0.02,0,100%,94%,85%,340,305,Refurbished Cell-Replaced
c094dcff3a6503ed34a41979e2601263,41,1,1833,3,241,1,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,15000,13500,original,360,0.04,0,100%,88%,72%,320,260,Original Battery
c094dcff3a6503ed34a41979e2601263,41,1,0,4,241,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
c094dcff3a6503ed34a41979e2601263,41,2,121,1,242,1,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,15000,16500,original,240,0.01,0,100%,97%,92%,235,220,Original Battery
c094dcff3a6503ed34a41979e2601263,41,2,1078,2,242,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,40000,15000,original,240,0.03,0,100%,91%,78%,220,190,Original Battery
c094dcff3a6503ed34a41979e2601263,41,2,3038,3,242,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,40000,16500,cellreplace,240,0.07,0,100%,80%,56%,195,135,Refurbished Cell-Replaced
c094dcff3a6503ed34a41979e2601263,41,2,0,4,242,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
c094dcff3a6503ed34a41979e2601263,41,3,1898,1,243,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,20000,13500,packreplace,360,0.04,0,100%,88%,72%,320,260,Refurbished Pack-Replaced
c094dcff3a6503ed34a41979e2601263,41,3,650,2,243,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,20000,13500,packreplace,240,0.02,0,100%,94%,85%,225,205,Refurbished Pack-Replaced
c094dcff3a6503ed34a41979e2601263,41,3,2905,3,243,1,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,15000,16500,original,200,0.07,0,100%,80%,56%,160,110,Original Battery
c094dcff3a6503ed34a41979e2601263,41,3,0,4,243,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
c094dcff3a6503ed34a41979e2601263,41,4,3244,1,244,1,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,30000,13500,packreplace,320,0.07,0,100%,80%,56%,255,180,Refurbished Pack-Replaced
c094dcff3a6503ed34a41979e2601263,41,4,2606,2,244,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,40000,13500,original,280,0.06,0,100%,83%,61%,235,170,Original Battery
c094dcff3a6503ed34a41979e2601263,41,4,1736,3,244,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,50000,12000,original,320,0.04,0,100%,88%,72%,285,230,Original Battery
c094dcff3a6503ed34a41979e2601263,41,4,0,4,244,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,NA,NA,NA,NA,NA,1,100%,NA%,NA%,NA,NA,NA
c094dcff3a6503ed34a41979e2601263,41,5,205,1,245,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,35000,13500,original,280,0.01,0,100%,97%,92%,270,260,Original Battery
c094dcff3a6503ed34a41979e2601263,41,5,990,2,245,0,2025-10-20T20:32:26Z,30.033333333333335,1.3833333333333333,15000,suv,40000,16500,original,200,0.03,0,100%,91%,78%,185,155,Original Battery
